date,username,ticker,series,action,side,shares,price,fee,pnl,executed_at,fill_cap_applied
2026-09-19,favorite-cash,KXGOVPARTYAK-26-D,KXGOVPARTYAK,enter,YES,22.43,0.8,0.2513,,yes_ask,yes
2026-09-19,favorite-cash,KXHARRISCOUNTYJUDGE-26-LPLU,KXHARRISCOUNTYJUDGE,enter,YES,12.91,0.97,0.0263,,yes_ask,yes
2026-09-19,favorite-cash,KXHOUSEPOPVOTEMARGIND-26NOV03-AL2,KXHOUSEPOPVOTEMARGIND,enter,YES,49.17,0.93,0.2241,,yes_ask,yes
2026-09-19,favorite-cash,KXHOUSEPOPVOTEMARGIND-26NOV03-AL4,KXHOUSEPOPVOTEMARGIND,enter,YES,75,0.93,0.3418,,yes_ask,yes
2026-09-19,favorite-cash,KXHOUSEPOPVOTEMARGIND-26NOV03-AL6,KXHOUSEPOPVOTEMARGIND,enter,YES,100.53,0.89,0.689,,yes_ask,yes
2026-09-19,favorite-cash,KXHOUSEPOPVOTEMARGIND-26NOV03-AL8,KXHOUSEPOPVOTEMARGIND,enter,YES,79.11,0.73,1.0915,,yes_ask,yes
2026-09-19,favorite-cash,KXHOUSERACE-AL02-26-R,KXHOUSERACE,enter,YES,4.27,0.7,0.0628,,yes_ask,yes
2026-09-19,favorite-cash,KXHOUSERACE-AL07-26-D,KXHOUSERACE,enter,YES,4.27,0.996,0.0012,,yes_ask,yes
2026-09-19,favorite-cash,KXHOUSERACE-AR02-26-R,KXHOUSERACE,enter,YES,2.15,0.86,0.0182,,yes_ask,yes
2026-09-19,favorite-cash,KXHOUSERACE-CA26-26-D,KXHOUSERACE,enter,YES,0.04,0.986,0.0001,,yes_ask,yes
2026-09-19,favorite-cash,KXHOUSERACE-CA36-26-D,KXHOUSERACE,enter,YES,0.21,0.988,0.0002,,yes_ask,yes
2026-09-19,favorite-cash,KXHOUSERACE-CA48-26-D,KXHOUSERACE,enter,YES,471.19,0.88,3.4831,,yes_ask,yes
2026-09-19,favorite-cash,KXHOUSERACE-CO04-26-R,KXHOUSERACE,enter,YES,4.49,0.73,0.062,,yes_ask,yes
2026-09-19,favorite-cash,KXHOUSERACE-FL02-26-R,KXHOUSERACE,enter,YES,1.66,0.925,0.0081,,yes_ask,yes
2026-09-19,favorite-cash,KXHOUSERACE-FL04-26-R,KXHOUSERACE,enter,YES,4.27,0.89,0.0293,,yes_ask,yes
2026-09-19,favorite-cash,KXHOUSERACE-FL06-26-R,KXHOUSERACE,enter,YES,14.95,0.96,0.0402,,yes_ask,yes
2026-09-19,favorite-cash,KXHOUSERACE-FL09-26-R,KXHOUSERACE,enter,YES,38.67,0.68,0.5891,,yes_ask,yes
2026-09-19,favorite-cash,KXHOUSERACE-FL11-26-R,KXHOUSERACE,enter,YES,4.27,0.87,0.0339,,yes_ask,yes
2026-09-19,favorite-cash,KXHOUSERACE-FL12-26-R,KXHOUSERACE,enter,YES,68.61,0.89,0.4702,,yes_ask,yes
2026-09-19,favorite-cash,KXHOUSERACE-FL15-26-R,KXHOUSERACE,enter,YES,4.31,0.92,0.0223,,yes_ask,yes
2026-09-19,favorite-cash,KXHOUSERACE-FL16-26-R,KXHOUSERACE,enter,YES,30.96,0.86,0.261,,yes_ask,yes
2026-09-19,favorite-cash,KXHOUSERACE-FL18-26-R,KXHOUSERACE,enter,YES,23.22,0.947,0.0816,,yes_ask,yes
2026-09-19,favorite-cash,KXHOUSERACE-FL19-26-R,KXHOUSERACE,enter,YES,0.17,0.96,0.0005,,yes_ask,yes
2026-09-19,favorite-cash,KXHOUSERACE-FL25-26-D,KXHOUSERACE,enter,YES,10.87,0.72,0.1534,,yes_ask,yes
2026-09-19,favorite-cash,KXHOUSERACE-FL27-26-R,KXHOUSERACE,enter,YES,8.25,0.78,0.0991,,yes_ask,yes
2026-09-19,favorite-cash,KXHOUSERACE-GA12-26-R,KXHOUSERACE,enter,YES,0.25,0.924,0.0013,,yes_ask,yes
2026-09-19,favorite-cash,KXHOUSERACE-HI02-26-D,KXHOUSERACE,enter,YES,2.13,0.97,0.0044,,yes_ask,yes
2026-09-19,favorite-cash,KXHOUSERACE-KY06-26-R,KXHOUSERACE,enter,YES,8.55,0.78,0.1028,,yes_ask,yes
2026-09-19,favorite-cash,KXHOUSERACE-MD06-26-D,KXHOUSERACE,enter,YES,0.04,0.95,0.0002,,yes_ask,yes
2026-09-19,favorite-cash,KXHOUSERACE-MI01-26-R,KXHOUSERACE,enter,YES,8.5,0.949,0.0288,,yes_ask,yes
2026-09-19,favorite-cash,KXHOUSERACE-MN01-26-R,KXHOUSERACE,enter,YES,22.58,0.8,0.2529,,yes_ask,yes
2026-09-19,favorite-cash,KXHOUSERACE-MN05-26-D,KXHOUSERACE,enter,YES,18.04,0.958,0.0509,,yes_ask,yes
2026-09-19,favorite-cash,KXHOUSERACE-MN08-26-R,KXHOUSERACE,enter,YES,0.04,0.9,0.0003,,yes_ask,yes
2026-09-19,favorite-cash,KXHOUSERACE-NC09-26-R,KXHOUSERACE,enter,YES,27.48,0.77,0.3407,,yes_ask,yes
